"","id","city"
"1","110000","北京市"
"2","110101","东城区"
"3","110102","西城区"
"4","110105","朝阳区"
"5","110106","丰台区"
"6","110107","石景山区"
"7","110108","海淀区"
"8","110109","门头沟区"
"9","110111","房山区"
"10","110112","通州区"
"11","110113","顺义区"
"12","110114","昌平区"
"13","110115","大兴区"
"14","110116","怀柔区"
"15","110117","平谷区"
"16","110118","密云区"
"17","110119","延庆区"
"18","120000","天津市"
"19","120101","和平区"
"20","120102","河东区"
"21","120103","河西区"
"22","120104","南开区"
"23","120105","河北区"
"24","120106","红桥区"
"25","120110","东丽区"
"26","120111","西青区"
"27","120112","津南区"
"28","120113","北辰区"
"29","120114","武清区"
"30","120115","宝坻区"
"31","120116","滨海新区"
"32","120117","宁河区"
"33","120118","静海区"
"34","120119","蓟州区"
"35","130000","河北省"
"36","130100","石家庄市"
"37","130102","长安区"
"38","130104","桥西区"
"39","130105","新华区"
"40","130107","井陉矿区"
"41","130108","裕华区"
"42","130109","藁城区"
"43","130110","鹿泉区"
"44","130111","栾城区"
"45","130121","井陉县"
"46","130123","正定县"
"47","130125","行唐县"
"48","130126","灵寿县"
"49","130127","高邑县"
"50","130128","深泽县"
"51","130129","赞皇县"
"52","130130","无极县"
"53","130131","平山县"
"54","130132","元氏县"
"55","130133","赵县"
"56","130181","辛集市"
"57","130183","晋州市"
"58","130184","新乐市"
"59","130200","唐山市"
"60","130202","路南区"
"61","130203","路北区"
"62","130204","古冶区"
"63","130205","开平区"
"64","130207","丰南区"
"65","130208","丰润区"
"66","130209","曹妃甸区"
"67","130224","滦南县"
"68","130225","乐亭县"
"69","130227","迁西县"
"70","130229","玉田县"
"71","130281","遵化市"
"72","130283","迁安市"
"73","130284","滦州市"
"74","130300","秦皇岛市"
"75","130302","海港区"
"76","130303","山海关区"
"77","130304","北戴河区"
"78","130306","抚宁区"
"79","130321","青龙满族自治县"
"80","130322","昌黎县"
"81","130324","卢龙县"
"82","130400","邯郸市"
"83","130402","邯山区"
"84","130403","丛台区"
"85","130404","复兴区"
"86","130406","峰峰矿区"
"87","130407","肥乡区"
"88","130408","永年区"
"89","130423","临漳县"
"90","130424","成安县"
"91","130425","大名县"
"92","130426","涉县"
"93","130427","磁县"
"94","130430","邱县"
"95","130431","鸡泽县"
"96","130432","广平县"
"97","130433","馆陶县"
"98","130434","魏县"
"99","130435","曲周县"
"100","130481","武安市"
"101","130500","邢台市"
"102","130502","桥东区"
"103","130503","桥西区"
"104","130521","邢台县"
"105","130522","临城县"
"106","130523","内丘县"
"107","130524","柏乡县"
"108","130525","隆尧县"
"109","130526","任县"
"110","130527","南和县"
"111","130528","宁晋县"
"112","130529","巨鹿县"
"113","130530","新河县"
"114","130531","广宗县"
"115","130532","平乡县"
"116","130533","威县"
"117","130534","清河县"
"118","130535","临西县"
"119","130581","南宫市"
"120","130582","沙河市"
"121","130600","保定市"
"122","130602","竞秀区"
"123","130606","莲池区"
